127.0.0.1, 2011-07-05 15:55:11, GET, /, HTTP/1.1, 303, 0.000960
127.0.0.1, 2011-07-05 15:55:11, GET, /welcome/default/index, HTTP/1.1, 200, 0.598746
127.0.0.1, 2011-07-05 15:55:11, GET, /welcome/static/css/handheld.css, HTTP/1.1, 200, 0.000395
127.0.0.1, 2011-07-05 15:55:11, GET, /welcome/static/js/modernizr-1.7.min.js, HTTP/1.1, 200, 0.000300
127.0.0.1, 2011-07-05 15:55:11, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000437
127.0.0.1, 2011-07-05 15:55:11, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000477
127.0.0.1, 2011-07-05 15:55:11, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001173
127.0.0.1, 2011-07-05 15:55:11, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000374
127.0.0.1, 2011-07-05 15:55:11, GET, /welcome/static/css/base.css, HTTP/1.1, 200, 0.000371
127.0.0.1, 2011-07-05 15:55:11, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.000378
127.0.0.1, 2011-07-05 15:55:11, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.000383
127.0.0.1, 2011-07-05 15:55:11, GET, /welcome/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.000379
127.0.0.1, 2011-07-05 15:55:11, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.000396
127.0.0.1, 2011-07-05 15:55:12, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000397
127.0.0.1, 2011-07-05 15:55:12, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.000384
127.0.0.1, 2011-07-05 15:55:15, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.028768
127.0.0.1, 2011-07-05 15:55:24, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 303, 0.508727
127.0.0.1, 2011-07-05 15:55:24, GET, /admin/default/index, HTTP/1.1, 200, 0.030594
127.0.0.1, 2011-07-05 15:55:24, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.000392
127.0.0.1, 2011-07-05 15:55:24, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.000374
127.0.0.1, 2011-07-05 15:55:24, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000284
127.0.0.1, 2011-07-05 15:55:24, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.000287
127.0.0.1, 2011-07-05 15:55:24, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.000285
127.0.0.1, 2011-07-05 15:55:24, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.000286
127.0.0.1, 2011-07-05 15:55:24, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000284
127.0.0.1, 2011-07-05 15:55:24, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.000280
127.0.0.1, 2011-07-05 15:55:24, GET, /admin/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.015457
127.0.0.1, 2011-07-05 15:55:24, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.000389
127.0.0.1, 2011-07-05 15:55:24, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.000373
127.0.0.1, 2011-07-05 15:55:24, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.000286
127.0.0.1, 2011-07-05 15:55:24, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.000284
127.0.0.1, 2011-07-05 15:55:24, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.000287
127.0.0.1, 2011-07-05 15:55:24, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.000287
127.0.0.1, 2011-07-05 15:55:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000330
127.0.0.1, 2011-07-05 15:55:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000276
127.0.0.1, 2011-07-05 15:55:27, POST, /admin/default/index, HTTP/1.1, 303, 0.025193
127.0.0.1, 2011-07-05 15:55:27, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.038525
127.0.0.1, 2011-07-05 15:55:28, GET, /admin/static/edit_area/edit_area_full.js, HTTP/1.1, 200, 0.000387
127.0.0.1, 2011-07-05 15:55:28, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.000295
127.0.0.1, 2011-07-05 15:55:28, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000290
127.0.0.1, 2011-07-05 15:55:28, GET, /admin/static/edit_area/langs/en.js, HTTP/1.1, 200, 0.000408
127.0.0.1, 2011-07-05 15:55:28, GET, /admin/static/edit_area/reg_syntax/python.js, HTTP/1.1, 200, 0.000302
127.0.0.1, 2011-07-05 15:55:28, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.000378
127.0.0.1, 2011-07-05 15:55:28, GET, /admin/static/edit_area/images/search.gif, HTTP/1.1, 200, 0.000400
127.0.0.1, 2011-07-05 15:55:28, GET, /admin/static/edit_area/images/go_to_line.gif, HTTP/1.1, 200, 0.000294
127.0.0.1, 2011-07-05 15:55:28, GET, /admin/static/edit_area/images/fullscreen.gif, HTTP/1.1, 200, 0.000291
127.0.0.1, 2011-07-05 15:55:28, GET, /admin/static/edit_area/images/spacer.gif, HTTP/1.1, 200, 0.000287
127.0.0.1, 2011-07-05 15:55:28, GET, /admin/static/edit_area/images/undo.gif, HTTP/1.1, 200, 0.000313
127.0.0.1, 2011-07-05 15:55:28, GET, /admin/static/edit_area/images/redo.gif, HTTP/1.1, 200, 0.000286
127.0.0.1, 2011-07-05 15:55:28, GET, /admin/static/edit_area/images/smooth_selection.gif, HTTP/1.1, 200, 0.000314
127.0.0.1, 2011-07-05 15:55:28, GET, /admin/static/edit_area/images/highlight.gif, HTTP/1.1, 200, 0.000295
127.0.0.1, 2011-07-05 15:55:28, GET, /admin/static/edit_area/images/reset_highlight.gif, HTTP/1.1, 200, 0.000302
127.0.0.1, 2011-07-05 15:55:28, GET, /admin/static/edit_area/images/word_wrap.gif, HTTP/1.1, 200, 0.000286
127.0.0.1, 2011-07-05 15:55:28, GET, /admin/static/edit_area/images/help.gif, HTTP/1.1, 200, 0.000291
127.0.0.1, 2011-07-05 15:55:28, GET, /admin/static/edit_area/images/statusbar_resize.gif, HTTP/1.1, 200, 0.000292
127.0.0.1, 2011-07-05 15:55:28, GET, /admin/static/edit_area/images/close.gif, HTTP/1.1, 200, 0.000287
127.0.0.1, 2011-07-05 15:55:28, GET, /admin/static/edit_area/images/move.gif, HTTP/1.1, 200, 0.000288
127.0.0.1, 2011-07-05 15:55:38, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.029452
127.0.0.1, 2011-07-05 15:55:40, GET, /admin/default/index, HTTP/1.1, 303, 0.005109
127.0.0.1, 2011-07-05 15:55:41, GET, /admin/default/site, HTTP/1.1, 200, 0.031601
127.0.0.1, 2011-07-05 15:55:41, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.000419
127.0.0.1, 2011-07-05 15:55:41, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.000301
127.0.0.1, 2011-07-05 15:55:41, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 200, 0.000283
127.0.0.1, 2011-07-05 15:55:41, GET, /admin/static/images/sidebar_background.jpg, HTTP/1.1, 200, 0.000288
127.0.0.1, 2011-07-05 15:55:41, POST, /admin/default/check_version, HTTP/1.1, 200, 0.649188
127.0.0.1, 2011-07-05 15:55:42, GET, /admin/default/twitter, HTTP/1.1, 200, 1.130913
127.0.0.1, 2011-07-05 15:55:43, GET, /welcome/default/index, HTTP/1.1, 200, 0.024480
127.0.0.1, 2011-07-05 15:55:49, GET, /welcome/default/index, HTTP/1.1, 200, 0.026725
127.0.0.1, 2011-07-05 15:55:51, GET, /admin/default/edit/welcome/static/base.css, HTTP/1.1, 303, 0.024605
127.0.0.1, 2011-07-05 15:55:51, GET, /admin/default/site, HTTP/1.1, 200, 0.029893
127.0.0.1, 2011-07-05 15:55:53, GET, /admin/default/twitter, HTTP/1.1, 200, 1.194062
127.0.0.1, 2011-07-05 15:55:57, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.351511
127.0.0.1, 2011-07-05 15:55:58, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000370
127.0.0.1, 2011-07-05 15:55:58, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000286
127.0.0.1, 2011-07-05 15:55:58, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000290
127.0.0.1, 2011-07-05 15:55:58, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000284
127.0.0.1, 2011-07-05 15:55:58, GET, /admin/static/images/folder_sm.png, HTTP/1.1, 200, 0.000406
